iter	Passed	Remaining
467	730	830
468	731	828
469	732	825
470	733	823
471	734	821
472	739	824
473	740	822
474	742	820
475	742	817
476	743	815
477	744	813
478	745	810
479	746	808
480	747	806
481	748	804
482	749	802
483	753	802
484	754	801
485	756	799
486	757	797
487	757	795
488	758	792
489	759	790
490	761	788
491	762	787
492	764	786
493	766	785
494	767	783
495	768	780
496	769	778
497	770	776
498	771	774
499	772	772
500	773	770
501	774	768
502	775	765
503	775	763
504	776	761
505	777	759
506	779	758
507	781	756
508	782	754
509	783	752
510	784	750
511	785	748
512	786	746
513	787	744
514	788	742
515	790	741
516	792	740
517	793	738
518	795	736
519	796	734
520	797	732
521	798	731
522	799	729
523	800	727
524	801	725
525	802	723
526	804	721
527	806	721
528	808	719
529	809	717
530	810	715
531	811	713
532	812	711
533	813	709
534	814	707
535	814	705
536	815	703
537	816	701
538	817	698
539	819	698
540	820	696
541	822	694
542	823	692
543	823	690
544	824	688
545	825	686
546	826	684
547	827	682
548	827	680
549	828	678
550	829	676
551	830	674
552	831	672
553	833	671
554	835	669
555	836	667
556	837	665
557	838	664
558	839	661
559	839	659
560	840	658
561	841	655
562	842	653
563	843	651
564	844	649
565	844	647
566	847	647
567	849	645
568	849	643
569	850	641
570	851	639
571	852	637
572	853	635
573	853	633
574	854	631
575	855	629
576	856	627
577	857	625
578	857	623
579	858	621
580	859	619
581	861	618
582	863	617
583	864	616
584	865	614
585	866	612
586	868	610
587	869	608
588	869	606
589	870	605
590	871	603
591	872	601
592	873	599
593	874	597
594	876	596
595	877	594
596	878	592
597	879	591
598	880	589
599	881	587
600	882	585
601	883	583
602	883	581
603	884	580
604	885	578
605	886	576
606	887	574
607	891	574
608	892	573
609	893	571
610	894	569
611	895	567
612	897	566
613	898	564
614	899	562
615	900	561
616	900	559
617	903	558
618	905	557
619	905	555
620	906	553
621	907	551
622	908	549
623	909	547
624	910	546
625	910	544
626	911	542
627	912	540
628	913	538
629	914	536
630	915	535
631	916	533
632	918	532
633	919	531
634	921	529
635	922	527
636	923	526
637	924	524
638	925	522
639	925	520
640	926	519
641	927	517
642	928	515
643	929	513
644	929	511
645	931	510
646	932	508
647	933	507
648	934	505
649	935	503
650	936	501
651	937	500
652	937	498
653	938	496
654	939	494
655	940	493
656	941	491
657	942	489
658	943	488
659	944	486
660	947	485
661	948	484
662	949	482
663	950	480
664	951	479
665	952	477
666	953	475
667	954	474
668	954	472
669	955	470
670	956	469
671	957	467
672	960	466
673	962	465
674	963	463
675	963	462
676	964	460
677	965	458
678	966	456
679	967	455
680	968	453
681	969	451
682	969	450
683	970	448
684	971	446
685	973	445
686	977	445
687	979	444
688	981	442
689	982	441
690	983	439
691	985	438
692	986	436
693	990	436
694	992	435
695	993	433
696	994	432
697	995	430
698	995	428
699	996	427
700	998	425
701	999	424
702	1000	422
703	1002	421
704	1005	420
705	1006	419
706	1007	417
707	1008	415
708	1009	414
709	1010	412
710	1010	410
711	1012	409
712	1013	407
713	1014	406
714	1017	405
715	1018	404
716	1019	402
717	1020	400
718	1021	399
719	1022	397
720	1023	395
721	1024	394
722	1025	392
723	1026	391
724	1027	389
725	1028	388
726	1031	387
727	1033	385
728	1034	384
729	1035	382
730	1036	381
731	1037	379
732	1038	378
733	1039	376
734	1041	375
735	1045	375
736	1046	373
737	1048	372
738	1048	370
739	1049	368
740	1050	367
741	1051	365
742	1052	364
743	1053	362
744	1055	361
745	1056	359
746	1059	358
747	1062	357
748	1063	356
749	1064	354
750	1065	353
751	1065	351
752	1066	349
753	1067	348
754	1068	346
755	1070	345
756	1070	343
757	1073	342
758	1075	341
759	1076	339
760	1076	338
761	1077	336
762	1078	335
763	1079	333
764	1080	331
765	1081	330
766	1082	328
767	1083	327
768	1084	325
769	1085	324
770	1087	322
771	1089	321
772	1090	320
773	1091	318
774	1092	317
775	1092	315
776	1094	314
777	1095	312
778	1096	310
779	1096	309
780	1097	307
781	1098	306
782	1099	304
783	1101	303
784	1103	302
785	1104	300
786	1105	299
787	1105	297
788	1106	295
789	1107	294
790	1108	292
791	1109	291
792	1110	289
793	1110	288
794	1111	286
795	1112	285
796	1113	283
797	1114	282
798	1116	280
799	1117	279
800	1118	278
801	1120	276
802	1121	275
803	1122	273
804	1122	272
805	1123	270
806	1124	268
807	1125	267
808	1126	265
809	1126	264
810	1127	262
811	1129	261
812	1131	260
813	1132	258
814	1133	257
815	1134	255
816	1135	254
817	1136	252
818	1137	251
819	1138	249
820	1139	248
821	1140	246
822	1140	245
823	1141	243
824	1142	242
825	1144	241
826	1146	239
827	1147	238
828	1148	236
829	1149	235
830	1150	233
831	1151	232
832	1152	230
833	1152	229
834	1153	227
835	1154	226
836	1155	224
837	1156	223
838	1157	222
839	1159	220
840	1160	219
841	1160	217
842	1161	216
843	1162	214
844	1163	213
845	1164	211
846	1164	210
847	1165	208
848	1166	207
849	1167	205
850	1168	204
851	1168	203
852	1169	201
853	1170	200
854	1172	198
855	1174	197
856	1175	196
857	1177	194
858	1178	193
859	1178	191
860	1179	190
861	1180	188
862	1181	187
863	1181	186
864	1182	184
865	1183	183
